Interest rate,GDP growth,Inflation,Volume,FX rate,In,Index
3.3,2.880259558,3,16915468700,0.942,4.339550818,5382
3.3,2.880259558,3,16369549600,0.9324,6.204796346,5623.1
3.3,2.880259558,3,17103519100,0.9349,8.222306814,5624.6
3.3,2.504331532,2.3,18232047900,0.8752,9.673748103,5296.8
3.2,2.504331532,2.3,18933803900,0.8805,6.899082569,5505
3.2,2.504331532,2.3,17616533000,0.8491,15.84488477,5388.6
3.2,2.064771477,1.7,15007446500,0.8202,8.479427549,5551.6
3.05,2.064771477,1.7,18297636700,0.7781,9.817922171,5898.5
2.65,2.064771477,1.7,19459643100,0.7792,10.67375887,5861.9
2.65,2.221006227,1.3,14694227100,0.7634,11.205074,5773.7
2.6,2.221006227,1.3,14694227100,0.7981,13.80423091,5773.7
2.55,2.221006227,1.3,15827350400,0.7663,17.11151737,5774.9
2.45,1.827397567,1.5,16235892400,0.768,18.29401089,5451.2
2.4,1.827397567,1.5,13834709300,0.7294,19.70083911,5681.7
2.4,1.827397567,1.5,18241252700,0.7149,19.49820789,5222.1
2.4,2.416688533,1.5,19251685700,0.701,19.38093563,5058.6
2.45,2.416688533,1.5,16257553300,0.7099,19.99308198,5288.6
2.45,2.416688533,1.5,16288456700,0.7189,21.69584621,5344.6
2.45,2.664148263,1.7,14098469900,0.7306,13.27196705,5056.6
2.45,2.664148263,1.7,19442888200,0.71,20.67941953,4947.9
2.4,2.664148263,1.7,20113708200,0.714,20.54616385,5151.8
2.4,2.639201872,1.3,15213115400,0.7657,19.83338674,5316
2.4,2.639201872,1.3,15213115400,0.7655,17.30038023,5316
2.35,2.639201872,1.3,17978190200,0.7242,13.79962193,5447.8
2.35,3.197330849,1,17921161900,0.7426,12.39463003,5310.4
2.35,3.197330849,1,15205357100,0.7522,10.98496471,5644
2.65,3.197330849,1,17313412400,0.7514,10.21030174,5529.4
2.5,2.2381782,1.3,17803214900,0.763,9.058188362,5525.2
2.35,2.2381782,1.3,15198480400,0.7613,8.691809075,5402.4
2.3,2.2381782,1.3,15862784600,0.7474,9.253387143,5719.1
2.3,2.702175066,1.5,13557800800,0.7236,9.111424542,5675
2.3,2.702175066,1.5,17390206600,0.7567,10.79044144,5761
2.3,2.702175066,1.5,20191684500,0.7688,10.63132003,5903.8
2.3,2.106996473,2.1,13914426600,0.7644,13.13376483,5947.6
2.3,2.106996473,2.1,13914426600,0.7475,11.55080214,5947.6
2.25,2.106996473,2.1,19761002700,0.745,11.99351702,5761.3
2.25,2.085296964,1.9,19162785000,0.7692,11.87707641,5764
2.25,2.085296964,1.9,16497542700,0.7987,10.61111111,5773.9
2.25,2.085296964,1.9,19994391200,0.7898,10.45064971,5776.3
2.25,2.961230435,1.8,15795779200,0.7839,10.92367257,5744.9
2.25,2.961230435,1.8,16222442900,0.7673,11.60616062,5976.4
2.2,2.961230435,1.8,15342066000,0.7585,11.41230686,6167.3
2.2,2.364540977,1.9,16152513000,0.78,9.340369393,6146.5
2.2,2.364540977,1.9,17390365400,0.8073,8.971044467,6117.3
2.2,2.364540977,1.9,18092533800,0.7792,8.31433546,5868.9
2.2,3.037917327,1.9,16235024000,0.7665,6.669960474,6071.6
2.2,3.037917327,1.9,16235024000,0.757,4.83909416,6071.6
2.2,3.037917327,1.9,20106627400,0.7564,6.759348035,6123.5
2.2,3.166411107,2.1,23047771300,0.7391,8.27303425,6289.7
2.2,3.166411107,2.1,15439821800,0.7431,9.304627567,6366.2
2.2,3.166411107,2.1,19423294300,0.726,8.76443998,6427.8
2.2,2.662082814,1.9,17158995000,0.7222,8.135168961,6325.5
2.2,2.662082814,1.9,19515529400,0.7085,8.002991773,5913.3
2.2,2.662082814,1.9,15542943100,0.7316,8.058156727,5709.4
2.15,2.406606005,1.8,13683629100,0.7058,8.467153285,5937.3
2.15,2.406606005,1.8,17196470900,0.7268,9.483590734,6252.7
2.15,2.406606005,1.8,19045805500,0.7146,10.22538553,6261.7
2.15,1.962700888,1.3,13912409100,0.7087,9.702248367,6418.4
2.15,1.962700888,1.3,13912409100,0.7039,10.53574337,6418.4
2.15,1.962700888,1.3,19128361600,0.6916,9.499968025,6491.8
1.8,1.667268593,1.6,18705183500,0.7013,10.40584173,6699.2
1.65,1.667268593,1.6,18272688400,0.6894,10.50935729,6896.7
1.45,1.667268593,1.6,21419352000,0.6718,9.215975815,6698.2
1.3,1.928836731,1.7,21290345800,0.6749,9.638700958,6800.6
1.2,1.928836731,1.7,18478531600,0.6926,8.85118511,6772.9
1.2,1.928836731,1.7,14726648500,0.6777,9.526400588,6802.4
1.2,2.215428766,1.8,13482036800,0.7006,10.08773759,7121.2
1.1,2.215428766,1.8,19383472200,0.6724,10.61032294,6511.5
1.1,2.215428766,1.8,41755181900,0.6524,8.760489633,5110.6
0.9,1.454619593,2.2,27360895000,0.6175,8.834464124,5597.7
0.9,1.454619593,2.2,27360895000,0.6566,9.812276903,5597.7
0.9,1.454619593,2.2,27232943400,0.6659,7.592067989,5872.2
0.8,-5.749892649,-0.3,33258396900,0.6863,7.729488408,6001.3
0.8,-5.749892649,-0.3,23016694200,0.7213,7.170435742,6058.3
0.75,-5.749892649,-0.3,24319379800,0.7354,6.97167756,6245.9
0.75,-2.859341413,0.7,25441524400,0.7108,7.546115148,6009.3
0.65,-2.859341413,0.7,20624673100,0.7044,8.157444381,6133.2
0.4,-2.859341413,0.7,19431896800,0.7393,12.13508872,6850.6
0.35,-0.117626415,0.9,16266687600,0.7702,11.41242938,6870.9
0.3,-0.117626415,0.9,19244405400,0.7645,10.95052807,6940.6
0.3,-0.117626415,0.9,22933667200,0.7829,10.31659389,7017
0.3,2.136733144,1.1,18207374600,0.7602,12.32356135,7290.7
0.3,2.136733144,1.1,18207374600,0.7776,15.13687601,7290.7
0.3,2.136733144,1.1,19212253400,0.7725,21.05377222,7406.7
0.25,10.31475664,3.8,21281495200,0.7518,17.64086361,7585
0.25,10.31475664,3.8,19714764400,0.7381,21.41877243,7664.2
0.25,10.31475664,3.8,22806885700,0.7335,22.59392692,7823.3
0.25,4.036546408,3,28095996100,0.7206,20.92668024,7629.7
0.25,4.036546408,3,22048349500,0.7546,21.62162162,7639.1
0.25,4.036546408,3,19537791500,0.7144,23.31223629,7779.2
0.25,4.56348785,3.5,21670375000,0.7256,20.52067381,7268.3
0.25,4.56348785,3.5,22098820600,0.7011,20.23326572,7323.2
0.25,4.56348785,3.5,32735476000,0.7182,20.79158317,7789.6
0.25,3.062183939,5.1,22125197500,0.7482,22.46412667,7724.8
0.25,3.062183939,5.1,22125197500,0.7148,21.94296762,7724.8
